Title,Description,Link,Image URL,Board Name
Кинематографический портрет девушки На ней белая пижама с рюшами с короткими шортами и рубашкой. Вол,"Кинематографический портрет девушки На ней белая пижама с рюшами с короткими шортами и рубашкой. Волосы убраны в высокий. Ready-to-use AI photo prompt — copy and paste into ChatGPT or Gemini. ""Кинематографический портрет девушки На ней белая пижама с рюшами с короткими шортами и рубашкой. Волосы убраны в высокий пучок и пару прядей обрамляет..."" Get this prompt and 6000+ more: https://promptshot.ru/p/kinematograficheskiy-portret-devushki-na-ney-belaya-pizhama-s-ryushami-s-korotki-a94a7/?utm_sour",https://promptshot.ru/p/kinematograficheskiy-portret-devushki-na-ney-belaya-pizhama-s-ryushami-s-korotki-a94a7/?utm_source=pinterest&utm_medium=pin,https://bk07-67ud-ea1y.gw-1a.dockhost.net/storage/v1/object/public/prompt-images/telegram/ChatBananahMama_ChatExport_2026-03-15/18039/0/0.jpg,Девушки
Крупный план (headshot) эффектной девушки с яркими чертами лица и пронзительными голубыми глазами. У,"Крупный план (headshot) эффектной девушки с яркими чертами лица и пронзительными голубыми глазами. У нее влажные, длинны. Ready-to-use AI photo prompt — copy and paste into ChatGPT or Gemini. ""Крупный план (headshot) эффектной девушки с яркими чертами лица и пронзительными голубыми глазами. У нее влажные, длинные густые волосы  , несколько п..."" Get this prompt and 6000+ more: https://promptshot.ru/p/krupnyy-plan-headshot-effektnoy-devushki-s-yarkimi-chertami-litsa-i-pronzitelnym-9b426/?utm_sour",https://promptshot.ru/p/krupnyy-plan-headshot-effektnoy-devushki-s-yarkimi-chertami-litsa-i-pronzitelnym-9b426/?utm_source=pinterest&utm_medium=pin,https://bk07-67ud-ea1y.gw-1a.dockhost.net/storage/v1/object/public/prompt-images/telegram/ChatBananahMama_ChatExport_2026-03-15/18019/0/0.jpg,Девушки
"Не меняя внешности женщины, образ в мягком вечернем свете с приглушёнными тенями. Высокая контрастно","Не меняя внешности женщины, образ в мягком вечернем свете с приглушёнными тенями. Высокая контрастность . Она стоит прям. Ready-to-use AI photo prompt — copy and paste into ChatGPT or Gemini. ""Не меняя внешности женщины, образ в мягком вечернем свете с приглушёнными тенями. Высокая контрастность . Она стоит прямо, слегка повернув корпус к ка..."" Get this prompt and 6000+ more: https://promptshot.ru/p/ne-menyaya-vneshnosti-zhenshchiny-obraz-v-myagkom-vechernem-svete-s-priglushyonn-56e40/?utm_sour",https://promptshot.ru/p/ne-menyaya-vneshnosti-zhenshchiny-obraz-v-myagkom-vechernem-svete-s-priglushyonn-56e40/?utm_source=pinterest&utm_medium=pin,https://bk07-67ud-ea1y.gw-1a.dockhost.net/storage/v1/object/public/prompt-images/telegram/ChatBananahMama_ChatExport_2026-03-15/18007/0/0.jpg,Девушки
"Экстремально Крупный план пары, которая делит интимный момент. Их лица близки, губы почти касаются. ","Экстремально Крупный план пары, которая делит интимный момент. Их лица близки, губы почти касаются. Женщина улыбается ле. Ready-to-use AI photo prompt — copy and paste into ChatGPT or Gemini. ""Экстремально Крупный план пары, которая делит интимный момент. Их лица близки, губы почти касаются. Женщина улыбается легкой улыбкой, её глаза искрятс..."" Get this prompt and 6000+ more: https://promptshot.ru/p/ekstremalno-krupnyy-plan-pary-kotoraya-delit-intimnyy-moment-ikh-litsa-blizki-gu-6f9f5/?utm_sour",https://promptshot.ru/p/ekstremalno-krupnyy-plan-pary-kotoraya-delit-intimnyy-moment-ikh-litsa-blizki-gu-6f9f5/?utm_source=pinterest&utm_medium=pin,https://bk07-67ud-ea1y.gw-1a.dockhost.net/storage/v1/object/public/prompt-images/telegram/ChatBananahMama_ChatExport_2026-03-15/18003/0/0.jpg,Девушки
"Не меняй черты лица Формат 9:16В русском стиле девушка, сидящая на траве у реки в летний день. Она н","Не меняй черты лица Формат 9:16В русском стиле девушка, сидящая на траве у реки в летний день. Она носит длинное ситцево. Ready-to-use AI photo prompt — copy and paste into ChatGPT or Gemini. ""Не меняй черты лица Формат 9:16В русском стиле девушка, сидящая на траве у реки в летний день. Она носит длинное ситцевое платье в цветочный узор, с б..."" Get this prompt and 6000+ more: https://promptshot.ru/p/ne-menyay-cherty-litsa-format-916v-russkom-stile-devushka-sidyashchaya-na-trave-898df/?utm_sourc",https://promptshot.ru/p/ne-menyay-cherty-litsa-format-916v-russkom-stile-devushka-sidyashchaya-na-trave-898df/?utm_source=pinterest&utm_medium=pin,https://bk07-67ud-ea1y.gw-1a.dockhost.net/storage/v1/object/public/prompt-images/telegram/ChatBananahMama_ChatExport_2026-03-15/18001/0/0.jpg,Девушки
Не меняй черты лица. Крупный драматичный close-up семьи из 3 человек на фоне вольера с кроликами: му,"Не меняй черты лица. Крупный драматичный close-up семьи из 3 человек на фоне вольера с кроликами: мужчина слева в профил. Ready-to-use AI photo prompt — copy and paste into ChatGPT or Gemini. ""Не меняй черты лица. Крупный драматичный close-up семьи из 3 человек на фоне вольера с кроликами: мужчина слева в профиль с полуопущенными глазами смо..."" Get this prompt and 6000+ more: https://promptshot.ru/p/ne-menyay-cherty-litsa-krupnyy-dramatichnyy-close-up-semi-iz-3-chelovek-na-fone-b5d7e/?utm_sourc",https://promptshot.ru/p/ne-menyay-cherty-litsa-krupnyy-dramatichnyy-close-up-semi-iz-3-chelovek-na-fone-b5d7e/?utm_source=pinterest&utm_medium=pin,https://bk07-67ud-ea1y.gw-1a.dockhost.net/storage/v1/object/public/prompt-images/telegram/ChatBananahMama_ChatExport_2026-03-15/17999/0/0.jpg,Девушки
"Создай фото не меняя черты лица Волосы блестящие часть прядей волос небрежно падает на лицо, перекры","Создай фото не меняя черты лица Волосы блестящие часть прядей волос небрежно падает на лицо, перекрывая один глаз, что с. Ready-to-use AI photo prompt — copy and paste into ChatGPT or Gemini. ""Создай фото не меняя черты лица Волосы блестящие часть прядей волос небрежно падает на лицо, перекрывая один глаз, что создает загадочный и слегка дер..."" Get this prompt and 6000+ more: https://promptshot.ru/p/sozday-foto-ne-menyaya-cherty-litsa-volosy-blestyashchie-chast-pryadey-volos-neb-827cb/?utm_sour",https://promptshot.ru/p/sozday-foto-ne-menyaya-cherty-litsa-volosy-blestyashchie-chast-pryadey-volos-neb-827cb/?utm_source=pinterest&utm_medium=pin,https://bk07-67ud-ea1y.gw-1a.dockhost.net/storage/v1/object/public/prompt-images/telegram/ChatBananahMama_ChatExport_2026-03-15/17997/0/0.jpg,Девушки
Кинематографический эффект с добавлением зернаблизкий кадр девочки  Не меняй черты лица Качество 8КФ,"Кинематографический эффект с добавлением зернаблизкий кадр девочки  Не меняй черты лица Качество 8КФормат 9:16Утро, солн. Ready-to-use AI photo prompt — copy and paste into ChatGPT or Gemini. ""Кинематографический эффект с добавлением зернаблизкий кадр девочки  Не меняй черты лица Качество 8КФормат 9:16Утро, солнечный свет пробивается сквозь ..."" Get this prompt and 6000+ more: https://promptshot.ru/p/kinematograficheskiy-effekt-s-dobavleniem-zernablizkiy-kadr-devochki-ne-menyay-c-efc28/?utm_sour",https://promptshot.ru/p/kinematograficheskiy-effekt-s-dobavleniem-zernablizkiy-kadr-devochki-ne-menyay-c-efc28/?utm_source=pinterest&utm_medium=pin,https://bk07-67ud-ea1y.gw-1a.dockhost.net/storage/v1/object/public/prompt-images/telegram/ChatBananahMama_ChatExport_2026-03-15/17994/0/0.jpg,AI Photo Prompts
Кинематографический эффект с добавлением зернаблизкий кадр мальчика  Не меняй черты лица Качество 8К,"Кинематографический эффект с добавлением зернаблизкий кадр мальчика  Не меняй черты лица Качество 8КФормат 9:16Мягкий ут. Ready-to-use AI photo prompt — copy and paste into ChatGPT or Gemini. ""Кинематографический эффект с добавлением зернаблизкий кадр мальчика  Не меняй черты лица Качество 8КФормат 9:16Мягкий утренний свет, пробивающийся скв..."" Get this prompt and 6000+ more: https://promptshot.ru/p/kinematograficheskiy-effekt-s-dobavleniem-zernablizkiy-kadr-malchika-ne-menyay-c-946a4/?utm_sour",https://promptshot.ru/p/kinematograficheskiy-effekt-s-dobavleniem-zernablizkiy-kadr-malchika-ne-menyay-c-946a4/?utm_source=pinterest&utm_medium=pin,https://bk07-67ud-ea1y.gw-1a.dockhost.net/storage/v1/object/public/prompt-images/telegram/ChatBananahMama_ChatExport_2026-03-15/17992/0/0.jpg,Мальчики
"Не меняй черты лица женщины.Эталонное изображение: концептуальный вариант.Селфи крупным   планом, сд","Не меняй черты лица женщины.Эталонное изображение: концептуальный вариант.Селфи крупным   планом, сделанное на улице ноч. Ready-to-use AI photo prompt — copy and paste into ChatGPT or Gemini. ""Не меняй черты лица женщины.Эталонное изображение: концептуальный вариант.Селфи крупным   планом, сделанное на улице ночью во время сильного дождя.У ж..."" Get this prompt and 6000+ more: https://promptshot.ru/p/ne-menyay-cherty-litsa-zhenshchinyetalonnoe-izobrazhenie-kontseptualnyy-variants-4563f/?utm_sour",https://promptshot.ru/p/ne-menyay-cherty-litsa-zhenshchinyetalonnoe-izobrazhenie-kontseptualnyy-variants-4563f/?utm_source=pinterest&utm_medium=pin,https://bk07-67ud-ea1y.gw-1a.dockhost.net/storage/v1/object/public/prompt-images/telegram/ChatBananahMama_ChatExport_2026-03-15/17990/0/0.jpg,Девушки